id_umkm,nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan,kode_jenis_usaha,daerah,margin_laba,total_tenaga_kerja,avg_belanja_pelanggan,utilisasi_produksi,roa
28828608,Ud. Heri Wiyata,Makanan & Minuman,81,75,3281572,8348563,Shopee,186,2012,-674238797,455058240,186,004,Probolinggo,-8076.105996,156,44884.74731,4488474.731,154.4074303
28828609,Ud. Anang Baswara,Makanan & Minuman,13,2,5316536,47636417,Lazada,608,2008,-32210728,53231430,608,004,Kediri,-67.61786471,15,78349.37007,7834937.007,796.0047858
28828610,Ud. Gilang Galang,Makanan & Minuman,21,21,5753490,41790652,Lazada,505,2020,-94083338,90582660,505,004,Mojokerto,-225.1301033,42,82753.76634,8275376.634,626.3530831
28828611,Ud. Sekar Trijaya,Fashion,87,55,1564818,3613229,Website Sendiri,122,2006,-831237289,556567012,122,001,Probolinggo,-23005.38629,142,29616.63115,2961663.115,130.9041051
28828612,Ud. Diyan Prawira,Perdagangan,12,58,1537363,29509796,Website Sendiri,768,2004,-330982189,240327990,768,006,Blitar,-1121.601074,70,38424.21354,3842421.354,1819.507364
28828613,Ud. Fajar Darussalam Lukita,Jasa,63,25,4279679,14336128,Website Sendiri,130,2023,-407810300,281430952,130,002,Mojokerto,-2844.633502,88,110277.9077,11027790.77,234.9813853
28828614,Ud. Yumna Wira,Perdagangan,55,49,9483812,15051081,Bukalapak,952,2007,-399099435,276100344,952,006,Malang,-2651.633029,104,15809.95903,1580995.903,58.70286125
28828615,Ud. Sani Segar,Makanan & Minuman,71,86,4595843,48877366,Shopee,822,2022,-546239376.5,396744495,822,004,Madiun,-1117.571222,157,59461.51582,5946151.582,963.5125264
28828616,Ud. Nazar Baruna,Perdagangan,41,79,8471642,19591921,Lazada,58,2000,-457073819,317777160,58,006,Blitar,-2332.970917,120,337791.7414,33779174.14,131.2647418
28828617,Ud. Nazar Dwijaputra Dito,Fashion,65,60,6367533,16430952,Unknown,177,2000,-639995673,437617750,177,001,Malang,-3895.061424,125,92830.23729,9283023.729,158.0426674
28828618,Ud. Lutfi Reswara,Makanan & Minuman,62,54,2253804,21170169,Website Sendiri,227,2023,-338265981,239624100,227,004,Sidoarjo,-1597.842611,116,93260.65639,9326065.639,839.3083427
28828619,Ud. Ujang Wibawa,Perdagangan,41,63,8197878,11057708,Shopee,786,2022,-484797184,330569928,786,006,Blitar,-4384.246573,104,14068.33079,1406833.079,34.88500317
28828620,Ud. Jafar Sanjaya,Jasa,90,2,4532792,15019139,Website Sendiri,785,2020,-272663113,191788168,785,002,Sidoarjo,-1815.437709,92,19132.66115,1913266.115,231.3441031
28828621,Ud. Xenia Nirbayu,Makanan & Minuman,33,29,5234170,21124439,Tokopedia,442,2012,-253530322,183103174,442,004,Probolinggo,-1200.175408,62,47792.84842,4779284.842,303.5871781
28828622,Ud. Jihan Gatra,Jasa,28,57,2198887,3043503,Website Sendiri,189,2017,-501136632,336120090,189,002,Malang,-16465.78407,85,16103.19048,1610319.048,38.41106887
28828623,Ud. Dewi Mandiri,Pendidikan,25,12,5082393,44835866,Shopee,503,2001,-99004760.5,95893751,503,005,Madiun,-220.815988,37,89136.91054,8913691.054,782.1802249
28828624,Ud. Fikri Jaladara,Kesehatan,22,71,8521201,31411063,Lazada,803,2008,-292093622,215669790,803,003,Mojokerto,-929.9068357,93,39117.13948,3911713.948,268.6224864
28828625,Ud. Lukman Wangi,Perdagangan,35,23,2349733,19402681,Shopee,765,2022,-274441820,195896334,765,006,Batu,-1414.453085,58,25362.9817,2536298.17,725.7398181
28828626,Ud. Jasmin Prajurit,Perdagangan,8,68,9078456,46549795,Lazada,405,2005,-244815851,194243764,405,006,Kediri,-525.9225116,76,114937.7654,11493776.54,412.7501306
28828627,Ud. Ony Mayang,Kesehatan,84,6,5652991,33930538,Shopee,618,2020,-499484702,355610160,618,003,Surabaya,-1472.080113,90,54903.78317,5490378.317,500.2227493
28828628,Ud. Gema Prana,Jasa,41,50,9929308,2320739,Shopee,502,2024,-308017198,206891958,502,002,Madiun,-13272.37565,91,4622.986056,462298.6056,-76.62738431
28828629,Ud. Celsi Cahyaningrat,Kesehatan,99,53,3607300,5946689,Lazada,329,2018,-525575119,354347872,329,003,Malang,-8838.113427,152,18075.04255,1807504.255,64.8515233
Unknown,Ud. Ucup Tirtayasa,Makanan & Minuman,66,50,9754163,40253559,Tokopedia,720,2023,-399649413,293268648,720,004,Batu,-992.8300079,116,55907.72083,5590772.083,312.6808113
28828631,Ud. Hilmiyah Tunggul,Jasa,6,26,3383876,4000272,Shopee,384,2021,-119162640,82108608,384,002,Madiun,-2978.863437,32,10417.375,1041737.5,18.2156793
28828632,Ud. Cipta Nawasena Qira,Perdagangan,22,11,3625751,8055755,Shopee,857,2014,-115174099,82153236,857,006,Malang,-1429.712038,33,9399.947491,939994.7491,122.1816942
28828633,Ud. Ony Nawasena,Pendidikan,31,40,9283358,28633735,Bukalapak,675,2008,-323393069,234684536,675,005,Pasuruan,-1129.412803,71,42420.34815,4242034.815,208.4415682
28828634,Ud. Livia Wijaya,Jasa,22,88,624431,22106121,Website Sendiri,98,2013,-385980789,272057940,98,002,Pasuruan,-1746.035811,110,225572.6633,22557266.33,3440.20236
28828635,Ud. Carissa Rejo,Pendidikan,15,32,1713807,49053971,Bukalapak,385,2008,-116582747.5,110424479,385,005,Sidoarjo,-237.6622017,47,127412.9117,12741291.17,2762.280934
28828636,Ud. Qisya Berkarya Pandu,Perdagangan,68,78,2876700,21587581,Shopee,556,2020,-562263572,389234102,556,006,Madiun,-2604.5696,146,38826.58453,3882658.453,650.4286509
28828637,Ud. Ujang Kusumah Erlangga,Jasa,12,30,5601571,14916664,Shopee,628,2022,-194212592,139419504,628,002,Pasuruan,-1301.98409,42,23752.64968,2375264.968,166.2942949
28828638,Ud. Nina Sanjaya,Pendidikan,9,10,1317922,10659378,Shopee,358,2021,-83063071.5,62481633,358,005,Malang,-779.2487657,19,29774.79888,2977479.888,708.8018866
28828639,Ud. Jihan Prima,Jasa,58,35,8823691,36100504,Tokopedia,443,2001,-422604093.5,305803065,443,002,Sidoarjo,-1170.632115,93,81490.97968,8149097.968,309.1315528
28828640,Ud. Mira Kelana,Kesehatan,1,5,8472112,31463643,Bukalapak,243,2007,2181090,19521702,243,003,Malang,6.932096198,6,129480.0123,12948001.23,271.3789785
28828641,Ud. Jaya Ayodya,Jasa,79,44,9556446,27716675,Website Sendiri,869,2014,-470130929.5,331898403,869,002,Sidoarjo,-1696.202483,123,31894.90794,3189490.794,190.0311999
28828642,Ud. Niken Arya,Perdagangan,51,59,5654448,20659180,Tokopedia,153,2023,-603121340,415853680,153,006,Madiun,-2919.386636,110,135027.3203,13502732.03,265.3615702
28828643,Ud. Sekar Siang,Kesehatan,0,89,4576055,13784473,Lazada,604,2011,-448885008.5,308446321,604,003,Batu,-3256.453899,89,22821.97517,2282197.517,201.2304922
28828644,Ud. Hanafi Bagaskara,Perdagangan,69,71,1275561,21044172,Shopee,689,2008,-413266908,289540720,689,006,Mojokerto,-1963.80693,140,30543.06531,3054306.531,1549.797383
28828645,Ud. Gema Wijaksana,Perdagangan,53,36,3859502,26304658,Tokopedia,783,2010,-484421619.5,340484185,783,006,Blitar,-1841.581136,89,33594.71009,3359471.009,581.5557551
28828646,Ud. Eddy Wira,Perdagangan,18,29,4545348,34126892,Lazada,612,2016,-152594543.5,124480957,612,006,Batu,-447.1387066,47,55762.89542,5576289.542,650.809223
28828647,Ud. Marsel Gandewa,Jasa,96,37,2446193,42005804,Shopee,76,2013,-616458110.5,438975943,76,002,Probolinggo,-1467.554604,133,552707.9474,55270794.74,1617.190917
28828648,Ud. Niken Ananta,Perdagangan,27,15,1453143,43793219,Tokopedia,501,2005,-139322959,122077452,666,006,Malang,-318.1382008,42,65755.58408,8741161.477,2913.689568
28828649,Ud. Qyla Prana Balqis,Jasa,4,78,4391363,49396220,Shopee,809,2019,-280101469,219665126,809,002,Probolinggo,-567.050412,82,61058.36836,6105836.836,1024.849392
28828650,Ud. Prananda Manggala,Pendidikan,75,37,1751832,43957907,Bukalapak,417,2021,-621215581,443448992,417,005,Batu,-1413.205549,112,105414.6451,10541464.51,2409.25357
28828651,Ud. Qanita Mandiri,Perdagangan,29,52,9060988,12455336,Shopee,684,2002,-300145088.5,208400283,684,006,Sidoarjo,-2409.771109,81,18209.55556,1820955.556,37.46112455
28828652,Ud. Tania Madani,Pendidikan,80,7,6910775,22777305,Website Sendiri,105,2024,-271696989,196316196,105,005,Blitar,-1192.840808,87,216926.7143,21692671.43,229.5911819
28828653,Ud. Wulan Sukma Fikri,Kesehatan,18,98,7023060,38011563,Website Sendiri,574,2012,-449813271,325216556,574,003,Blitar,-1183.359051,116,66222.23519,6622223.519,441.2393316
28828654,Ud. Chiko Tejakencana Pandu,Makanan & Minuman,41,8,7011130,41076645,Shopee,901,2015,-171848592,141950158,901,004,Surabaya,-418.3608277,49,45590.06104,4559006.104,485.8776688
28828655,Ud. Candra Kalbu,Perdagangan,24,20,5748456,35167429,Tokopedia,920,2011,-103863551,92687320,920,006,Blitar,-295.3401882,44,38225.4663,3822546.63,511.7717349
28828656,Ud. Delia Paseban,Jasa,34,40,9619374,35581221,Lazada,942,2021,-253503294,192723010,942,002,Mojokerto,-712.4637291,74,37771.99682,3777199.682,269.891232
28828657,Ud. Taufan Jatiwangi,Perdagangan,8,68,5995579,8846732,Lazada,418,2012,-432439060,294190528,418,006,Blitar,-4888.122077,76,21164.43062,2116443.062,47.55425623
28828658,Ud. Kamil Nirmala,Perdagangan,95,18,514600,2703541,Website Sendiri,606,2021,-414323580.5,278018081,606,006,Batu,-15325.21906,113,4461.288779,446128.8779,425.3674699
28828659,Ud. Damar Wibawa,Makanan & Minuman,38,79,2653894,12152355,Website Sendiri,983,2018,-650081977.5,441489555,983,004,Surabaya,-5349.432085,117,12362.5178,1236251.78,357.9065705
28828660,Ud. Berlian Cempaka,Perdagangan,55,17,8390333,11467618,Tokopedia,416,2020,-291568394,202024008,416,006,Batu,-2542.53668,72,27566.38942,2756638.942,36.67655384
28828661,Ud. Riko Wening,Fashion,37,75,5983839,26039591,Bukalapak,64,2008,-563363041,392935088,64,001,Batu,-2163.486519,112,406868.6094,40686860.94,335.1653011
28828662,Ud. Fani Manik,Fashion,14,79,983727,33508384,Website Sendiri,16,2023,-274544025.5,205368273,16,001,Gresik,-819.329352,93,2094274,209427400,3306.268609
28828663,Ud. Xenia Paningrat Najwa,Jasa,45,4,2992835,22527761,Website Sendiri,270,2009,-257731046.5,186839205,270,002,Kediri,-1144.059751,49,83436.15185,8343615.185,652.7231204
28828664,Ud. Wira Gatra,Jasa,36,66,3638845,23829753,Shopee,983,2018,-494790216,345746646,983,002,Surabaya,-2076.354782,102,24241.8647,2424186.47,554.8713397
28828665,Ud. Jay Wiyata,Perdagangan,89,70,9687373,7985555,Bukalapak,860,2016,-794260472.5,534830685,860,006,Batu,-9946.215041,159,9285.52907,928552.907,-17.56738385
28828666,Ud. Lono Senopati,Perdagangan,59,31,3995268,25611802,Bukalapak,628,2021,-409142873,289836450,628,006,Kediri,-1597.477885,90,40783.1242,4078312.42,343.9235115
28828667,Ud. Via Wijapranata Yusuf,Makanan & Minuman,61,94,6403103,44398258,Website Sendiri,720,2006,-483803612,352134580,720,004,Kediri,-1089.690528,155,61664.24722,6166424.722,593.3865971
Unknown,Ud. Pasha Atma,Makanan & Minuman,29,87,6198421,14974366,Tokopedia,589,2023,-591859334,404555800,589,004,Surabaya,-3952.483424,116,25423.37182,2542337.182,141.5835581
28828670,Ud. Vidi Warna,Pendidikan,65,47,4581101,4193956,Lazada,15,2016,-498111428,334870256,15,005,Gresik,-11876.88731,112,279597.0667,27959706.67,-8.450916057
28828671,Ud. Gusti Sanjaya,Pendidikan,6,32,1488268,25611802,Website Sendiri,901,2013,-99918329,83686754,901,005,Probolinggo,-390.1261184,38,28425.97336,2842597.336,1301.273964
28828672,Ud. Pandu Adhi,Jasa,29,68,7904087,33026450,Lazada,878,2003,-286603439.5,213086593,878,002,Sidoarjo,-867.7997166,97,37615.5467,3761554.67,317.8401629
28828673,Ud. Zulkarnaen Agastya,Perdagangan,32,71,9510396,42483616,Lazada,915,2015,-353245422.5,263819359,915,006,Mojokerto,-831.4862428,103,46430.18142,4643018.142,346.7071192
28828674,Ud. Qanitah Nusa,Perdagangan,37,1,5198349,35555936,Lazada,827,2019,-150933301,124326158,827,006,Sidoarjo,-424.495367,38,42993.87666,4299387.666,583.9851653
28828675,Ud. Wira Kamajaya,Perdagangan,83,53,6846532,30415011,Website Sendiri,517,2000,-718706241,499414168,517,006,Blitar,-2362.998458,136,58829.80851,5882980.851,344.2396676
28828676,Ud. Anisa Galuh,Kesehatan,18,41,9388786,45365124,Tokopedia,890,2005,-224276410.5,179761023,890,003,Mojokerto,-494.3806844,59,50972.04944,5097204.944,383.1841305
28828677,Ud. Iqra Abadi,Perdagangan,8,34,9466333,7317305,Bukalapak,261,2016,-178539625,123904620,261,006,Blitar,-2439.964235,42,28035.65134,2803565.134,-22.70180016
28828678,Ud. Ucup Jatiwangi,Kesehatan,85,60,5690300,49554542,Shopee,407,2017,-730052023,519737710,407,003,Batu,-1473.229281,145,121755.6314,12175563.14,770.8599195
28828679,Ud. Desi Tirta,Jasa,31,59,9647996,21893566,Bukalapak,534,2017,-313970099,223909110,534,002,Malang,-1434.074737,90,40999.18727,4099918.727,126.9234564
28828680,Ud. Lukita Panji,Pendidikan,29,97,5211246.5,32255212,Shopee,633,2020,-452470253,323150310,633,005,Surabaya,-1402.781829,126,50956.10111,5095610.111,598.1694591
28828681,Ud. Okta Tejakencana,Perdagangan,5,93,4729202,26166349,Bukalapak,883,2024,-382793237,272639724,883,006,Mojokerto,-1462.921851,98,29633.46433,2963346.433,453.2931137
28828682,Ud. Farhan Sukarela Qomar,Perdagangan,60,48,7768394,25032131,Website Sendiri,265,2011,-526109203,367427556,265,006,Mojokerto,-2101.735577,108,94460.8717,9446087.17,222.2304507
28828683,Ud. Qamar Bahagia,Makanan & Minuman,80,22,4933187,45639857,Website Sendiri,895,2004,-461055751,337797072,895,004,Batu,-1010.204197,102,50994.25363,5099425.363,825.1596787
28828684,Ud. Ina Sumirat,Jasa,36,67,6064560,11604241,Lazada,80,2016,-453022527.5,309751179,80,002,Probolinggo,-3903.939323,103,145053.0125,14505301.25,91.34514293
28828685,Ud. Lidya Cinta,Perdagangan,78,34,3297749,32063713,Shopee,414,2019,-401355959,288946448,414,006,Kediri,-1251.745108,112,77448.58213,7744858.213,872.2908869
28828686,Ud. Balqis Sehat,Jasa,70,13,4389594,26914736,Tokopedia,501,2004,-380133034,271365180,746,002,Batu,-1412.360255,83,36078.73458,5372202.794,513.148642
28828687,Ud. Alya Sukarela,Pendidikan,77,21,7742494,7072143,Website Sendiri,404,2009,-290345166,198278206,404,005,Pasuruan,-4105.476459,98,17505.30446,1750530.446,-8.658075809
28828688,Ud. Adinda Putra,Kesehatan,19,29,6818061,1546138,Shopee,15,2003,-219700934,147498048,15,003,Gresik,-14209.65878,48,103075.8667,10307586.67,-77.3229075
28828689,Ud. Salwa Malam,Pendidikan,29,2,4324406,9152979,Website Sendiri,429,2010,-154334371.5,108991567,429,005,Kediri,-1686.165471,31,21335.61538,2133561.538,111.6586417
28828690,Ud. Vega Putra,Jasa,17,74,2619311,31575615,Tokopedia,596,2018,-324291624,237244826,596,002,Surabaya,-1027.031854,91,52979.2198,5297921.98,1105.493162
28828691,Ud. Cipta Citra,Jasa,62,9,8453097,47037549,Shopee,576,2008,-222786165,179882476,576,002,Kediri,-473.6347232,71,81662.41146,8166241.146,456.4534395
28828692,Ud. Farid Darma,Kesehatan,60,66,668929,27034322,Lazada,43,2000,-615098281,428088402,43,003,Probolinggo,-2275.249518,126,628705.1628,62870516.28,3941.433695
28828693,Ud. Qais Sari,Perdagangan,56,40,1833661,37695680,Shopee,487,2021,-440802640,318998880,487,006,Kediri,-1169.371769,96,77403.86037,7740386.037,1955.76058
28828694,Ud. Pandu Mulya,Pendidikan,21,47,7834514,39300093,Tokopedia,722,2021,-344999187,256199520,722,005,Surabaya,-877.8584493,68,54432.26177,5443226.177,401.6277079
28828695,Ud. Vita Kalbu,Perdagangan,88,49,7823436,44900616,Lazada,848,2021,-518608948.5,375673043,848,006,Probolinggo,-1155.01522,137,52948.83962,5294883.962,473.9245007
28828696,Ud. Utha Mulya Tami,Perdagangan,87,68,8166464,40243035,Website Sendiri,951,2012,-525270202.5,377008825,951,006,Sidoarjo,-1305.245001,155,42316.54574,4231654.574,392.7840862
28828697,Ud. Fitri Manunggal,Pendidikan,94,57,6216996,4835731,Lazada,814,2014,-657920256.5,441837325,814,005,Mojokerto,-13605.39402,151,5940.701474,594070.1474,-22.21756295
28828698,Ud. Rosa Nirbayu,Jasa,48,14,2284119,6474127,Website Sendiri,965,2004,-227568557,156028456,965,002,Mojokerto,-3515.046229,62,6708.939896,670893.9896,183.4408803
28828699,Ud. Jodi Kinarya,Perdagangan,17,47,5772091,19593100,Tokopedia,923,2015,-295782260,210250240,923,006,Gresik,-1509.624613,64,21227.6273,2122762.73,239.4454453
28828700,Ud. Marsel Indah,Kesehatan,97,5,7709862,20021216,Bukalapak,570,2018,-532447708,368312616,570,003,Blitar,-2659.41743,102,35124.94035,3512494.035,159.6831954
28828701,Ud. Marsel Anggara,Perdagangan,60,3,3167245,32833474,Bukalapak,102,2008,-334414505,244831986,102,006,Sidoarjo,-1018.516971,63,321896.8039,32189680.39,936.657221
Unknown,Ud. Fikri Saprahan,Kesehatan,81,22,6471002,48263438,Tokopedia,350,2021,-411950656,306809396,350,003,Sidoarjo,-853.5460238,103,137895.5371,13789553.71,645.8418032
28828703,Ud. Lono Pagi,Pendidikan,77,44,6530226,23618639,Website Sendiri,919,2018,-598104529,414482112,919,005,Kediri,-2532.341212,121,25700.36888,2570036.888,261.6818009
28828704,Ud. Gracia Wening,Perdagangan,67,64,1678922,30925502,Lazada,793,2004,-371699854,268416904,793,006,Mojokerto,-1201.920195,131,38998.11097,3899811.097,1741.985631
28828705,Ud. Zahira Sehat,Jasa,6,55,4660357,28711773,Website Sendiri,163,2009,-182005224,140477998,163,002,Surabaya,-633.9045102,61,176145.8466,17614584.66,516.0852699
28828706,Ud. Fahmi Paseban,Perdagangan,6,97,8775493,9318872,Bukalapak,126,2000,-340579132,233265336,126,006,Madiun,-3654.724864,103,73959.30159,7395930.159,6.192005395
28828707,Ud. Lutfi Prajurit Lukita,Kesehatan,64,62,6110896,2734733,Lazada,232,2024,-596154670,399259602,232,003,Madiun,-21799.37383,126,11787.64224,1178764.224,-55.24824837
28828708,Ud. Farhan Artha,Kesehatan,39,14,8143858,12367808,Shopee,316,2007,-266230720,185732352,316,003,Probolinggo,-2152.61039,53,39138.63291,3913863.291,51.86669512
28828709,Ud. Vidi Siang Pasha,Pendidikan,23,3,7102010,45711456,Bukalapak,514,2023,-37505457,55477942,514,005,Mojokerto,-82.04826598,26,88932.79377,8893279.377,543.6411101
28828710,Ud. Eni Lempung,Kesehatan,31,90,9345476,10948708,Tokopedia,596,2022,-469783626.5,320488223,596,003,Mojokerto,-4290.767701,121,18370.31544,1837031.544,17.15516684
28828711,Ud. Rian Trisaktiatma Elyas,Jasa,9,76,2136222,31990500,Lazada,361,2011,-446405565,318930710,361,002,Gresik,-1395.431659,85,88616.34349,8861634.349,1397.526942
28828712,Ud. Mega Kencana Qiana,Jasa,8,31,4725317,3055356,Website Sendiri,867,2005,-121919949,83316870,867,002,Madiun,-3990.368029,39,3524.055363,352405.5363,-35.34071894
28828713,Ud. Mario Ayodya,Pendidikan,38,8,8938648,47191623,Shopee,328,2001,-123980403,114114684,328,005,Mojokerto,-262.716972,46,143876.8994,14387689.94,427.9503455
28828714,Ud. Oki Bima,Pendidikan,2,88,4543115,10845504,Bukalapak,938,2006,-441434736,301520160,938,005,Gresik,-4070.209517,90,11562.371,1156237.1,138.7239592
28828715,Ud. Isna Sunardi,Makanan & Minuman,98,56,8175371,6904087,Lazada,69,2002,-856364858,575512630,69,004,Kediri,-12403.73793,154,100059.2319,10005923.19,-15.55016892
28828716,Ud. Rangga Gandewa,Perdagangan,68,66,4643502,36564026,Bukalapak,686,2004,-368247160,269874124,686,006,Pasuruan,-1007.129685,134,53300.32945,5330032.945,687.4235006
