id_umkm,nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan
28828645,UD. Gema Wijaksana,Perdagangan,53,36,3859502,26304658,Tokopedia,783,Belum Terdaftar,2010,22445156,267000000,783
28828646,UD. Eddy Wira,Perdagangan,18,29,4545348,34126892,Lazada,612,Terdaftar,2016,29581544,141000000,612
28828647,UD. Marsel Gandewa,Jasa,96,37,2446193,42005804,Shopee,76,Terdaftar,2013,39559611,399000000,76
28828648,UD. Niken Ananta,Perdagangan,27,15,1453143,43793219,Tokopedia,unknown,Terdaftar,2005,42340076,126000000,666
28828649,UD. Qyla Prana Balqis,Jasa,4,78,4391363,49396220,Shopee,809,Terdaftar,2019,45004857,246000000,809
28828650,UD. Prananda Manggala,Pendidikan,75,37,1751832,43957907,Bukalapak,417,,2021,42206075,336000000,417
28828651,UD. Qanita Mandiri,Perdagangan,29,52,9060988,12455336,Shopee,684,Terdaftar,2002,3394348,243000000,684
28828652,UD. Tania Madani,Pendidikan,80,7,6910775,22777305,Website Sendiri,105,Terdaftar,2024,15866530,261000000,105
28828653,UD. Wulan Sukma Fikri,Kesehatan,18,98,7023060,38011563,Website Sendiri,574,Terdaftar,2012,30988503,348000000,574
28828654,UD. Chiko Tejakencana Pandu,Makanan & Minuman,41,8,7011130,41076645,Shopee,901,Terdaftar,2015,34065515,147000000,901
28828655,UD. Candra Kalbu,Perdagangan,24,20,5748456,35167429,Tokopedia,920,Terdaftar,2011,29418973,132000000,920
28828656,UD. Delia Paseban,Jasa,34,40,9619374,35581221,Lazada,942,Belum Terdaftar,2021,25961847,222000000,942
28828657,UD. Taufan Jatiwangi,Perdagangan,8,68,5995579,8846732,Lazada,418,Terdaftar,2012,2851153,228000000,418
28828658,UD. Kamil Nirmala,Perdagangan,95,18,514600,2703541,Website Sendiri,606,Terdaftar,2021,2188941,339000000,606
28828659,UD. Damar Wibawa,Makanan & Minuman,38,79,2653894,12152355,Website Sendiri,983,Terdaftar,2018,9498461,351000000,983
28828660,UD. Berlian Cempaka,Perdagangan,55,17,8390333,11467618,Tokopedia,416,Terdaftar,2020,3077285,216000000,416
28828661,UD. Riko Wening,Fashion,37,75,5983839,26039591,Bukalapak,64,Terdaftar,2008,20055752,336000000,64
28828662,UD. Fani Manik,Fashion,14,79,983727,33508384,Website Sendiri,16,Terdaftar,2023,32524657,279000000,16
28828663,UD. Xenia Paningrat Najwa,Jasa,45,4,2992835,22527761,Website Sendiri,270,unknown,2009,19534926,147000000,270
28828664,UD. Wira Gatra,Jasa,36,66,3638845,23829753,Shopee,983,Terdaftar,2018,20190908,306000000,983
28828665,UD. Jay Wiyata,Perdagangan,89,70,9687373,7985555,Bukalapak,860,Terdaftar,2016,-1701818,477000000,860
28828666,UD. Lono Senopati,Perdagangan,59,31,3995268,,Bukalapak,628,Terdaftar,2021,13740666,270000000,628
28828667,UD. Via Wijapranata Yusuf,Makanan & Minuman,61,94,6403103,44398258,Website Sendiri,720,Belum Terdaftar,2006,37995155,465000000,720
28828668,UD. Krisna Segar,,30,77,8955003,2617312,Shopee,977,Terdaftar,2024,-6337691,321000000,977
,UD. Pasha Atma,Makanan & Minuman,29,87,6198421,14974366,Tokopedia,589,Terdaftar,2023,8775945,348000000,589
28828670,UD. Vidi Warna,Pendidikan,65,47,4581101,4193956,Lazada,15,Belum Terdaftar,2016,-387145,,15
28828671,UD. Gusti Sanjaya,Pendidikan,6,32,1488268,unknown,Website Sendiri,901,Belum Terdaftar,2013,19366444,114000000,901
28828672,UD. Pandu Adhi,Jasa,29,68,7904087,33026450,Lazada,878,Terdaftar,2003,25122363,291000000,878
28828673,UD. Zulkarnaen Agastya,Perdagangan,32,71,9510396,42483616,Lazada,915,Belum Terdaftar,2015,32973220,309000000,915
28828674,UD. Qanitah Nusa,Perdagangan,37,1,5198349,35555936,Lazada,827,Belum Terdaftar,2019,30357587,114000000,827
28828675,UD. Wira Kamajaya,Perdagangan,83,53,6846532,30415011,Website Sendiri,517,Terdaftar,2000,23568479,408000000,517
28828676,UD. Anisa Galuh,Kesehatan,18,41,9388786,45365124,Tokopedia,890,Belum Terdaftar,2005,35976338,177000000,890
28828677,UD. Iqra Abadi,Perdagangan,8,34,9466333,7317305,Bukalapak,261,Terdaftar,2016,-2149028,126000000,261
28828678,UD. Ucup Jatiwangi,Kesehatan,85,60,5690300,49554542,Shopee,407,Belum Terdaftar,2017,43864242,435000000,407
28828679,UD. Desi Tirta,Jasa,31,59,9647996,21893566,Bukalapak,534,Belum Terdaftar,2017,12245570,270000000,534
28828680,UD. Lukita Panji,Pendidikan,29,97,,32255212,Shopee,633,Belum Terdaftar,2020,31172085,378000000,633
28828681,UD. Okta Tejakencana,Perdagangan,5,93,4729202,26166349,Bukalapak,883,Terdaftar,2024,21437147,294000000,883
28828682,UD. Farhan Sukarela Qomar,Perdagangan,60,48,7768394,25032131,Website Sendiri,265,Belum Terdaftar,2011,17263737,324000000,265
28828683,UD. Qamar Bahagia,Makanan & Minuman,80,22,4933187,45639857,Website Sendiri,895,Belum Terdaftar,2004,40706670,306000000,895
28828684,UD. Ina Sumirat,Jasa,36,67,6064560,11604241,Lazada,80,Terdaftar,2016,5539681,309000000,80
28828685,UD. Lidya Cinta,Perdagangan,78,34,3297749,32063713,Shopee,414,Terdaftar,2019,28765964,336000000,414
28828686,UD. Balqis Sehat,Jasa,70,13,4389594,26914736,Tokopedia,,Terdaftar,2004,22525142,249000000,746
28828687,UD. Alya Sukarela,Pendidikan,77,21,7742494,7072143,Website Sendiri,404,Belum Terdaftar,2009,-670351,294000000,404
28828688,UD. Adinda Putra,Kesehatan,19,29,6818061,1546138,Shopee,15,Terdaftar,2003,-5271923,144000000,15
28828689,UD. Salwa Malam,Pendidikan,29,2,4324406,9152979,Website Sendiri,429,Belum Terdaftar,2010,4828573,93000000,429
28828690,UD. Vega Putra,Jasa,17,74,2619311,31575615,Tokopedia,596,Belum Terdaftar,2018,28956304,273000000,596
28828691,UD. Cipta Citra,Jasa,62,9,8453097,47037549,Shopee,576,Belum Terdaftar,2008,38584452,213000000,576
28828692,UD. Farid Darma,Kesehatan,60,66,668929,27034322,Lazada,43,Belum Terdaftar,2000,26365393,378000000,43
28828693,UD. Qais Sari,Perdagangan,56,40,1833661,37695680,Shopee,487,Terdaftar,2021,35862019,288000000,487
28828694,UD. Pandu Mulya,Pendidikan,21,47,7834514,39300093,Tokopedia,722,Belum Terdaftar,2021,31465579,204000000,722
28828695,UD. Vita Kalbu,Perdagangan,88,49,7823436,44900616,Lazada,848,Terdaftar,2021,37077180,411000000,848
28828696,UD. Utha Mulya Tami,Perdagangan,87,68,8166464,40243035,Website Sendiri,951,Belum Terdaftar,2012,32076571,465000000,951
28828697,UD. Fitri Manunggal,Pendidikan,94,57,6216996,4835731,Lazada,814,Terdaftar,2014,-1381265,453000000,814
28828698,UD. Rosa Nirbayu,Jasa,48,14,2284119,6474127,Website Sendiri,965,Terdaftar,2004,4190008,186000000,965
28828699,UD. Jodi Kinarya,Perdagangan,17,47,5772091,19593100,Tokopedia,923,Terdaftar,2015,13821009,192000000,923
28828700,UD. Marsel Indah,Kesehatan,97,5,7709862,20021216,Bukalapak,570,Belum Terdaftar,2018,12311354,306000000,570
28828701,UD. Marsel Anggara,Perdagangan,60,3,3167245,32833474,Bukalapak,102,Belum Terdaftar,2008,29666229,189000000,102
,UD. Fikri Saprahan,Kesehatan,81,22,6471002,48263438,Tokopedia,350,Belum Terdaftar,2021,41792436,309000000,350
28828703,UD. Lono Pagi,Pendidikan,77,44,6530226,23618639,Website Sendiri,919,Terdaftar,2018,17088413,363000000,919
28828704,UD. Gracia Wening,Perdagangan,67,64,1678922,30925502,Lazada,793,Belum Terdaftar,2004,29246580,393000000,793
28828705,UD. Zahira Sehat,Jasa,6,55,4660357,28711773,Website Sendiri,163,Belum Terdaftar,2009,24051416,183000000,163
28828706,UD. Fahmi Paseban,Perdagangan,6,97,8775493,9318872,Bukalapak,126,Belum Terdaftar,2000,543379,309000000,126
28828707,UD. Lutfi Prajurit Lukita,Kesehatan,64,62,6110896,2734733,Lazada,232,Belum Terdaftar,2024,-3376163,378000000,232
28828708,UD. Farhan Artha,Kesehatan,39,14,8143858,12367808,Shopee,316,Belum Terdaftar,2007,4223950,159000000,316
28828709,UD. Vidi Siang Pasha,Pendidikan,23,3,7102010,45711456,Bukalapak,514,Belum Terdaftar,2023,38609446,78000000,514
28828710,UD. Eni Lempung,Kesehatan,31,90,9345476,10948708,Tokopedia,596,Belum Terdaftar,2022,1603232,363000000,596
28828711,UD. Rian Trisaktiatma Elyas,Jasa,9,76,2136222,31990500,Lazada,361,Belum Terdaftar,2011,29854278,255000000,361
28828712,UD. Mega Kencana Qiana,Jasa,8,31,4725317,3055356,Website Sendiri,867,Belum Terdaftar,2005,-1669961,117000000,867
28828713,UD. Mario Ayodya,Pendidikan,38,8,8938648,47191623,Shopee,328,Terdaftar,2001,38252975,138000000,328
28828714,UD. Oki Bima,Pendidikan,2,88,4543115,10845504,Bukalapak,938,Belum Terdaftar,2006,6302389,270000000,938
28828715,UD. Isna Sunardi,Makanan & Minuman,98,56,8175371,6904087,Lazada,69,Terdaftar,2002,-1271284,462000000,69
28828716,UD. Rangga Gandewa,Perdagangan,68,66,4643502,36564026,Bukalapak,686,Belum Terdaftar,2004,31920524,402000000,686
28828717,UD. Vina Lingga,Jasa,6,38,5412783,40562865,Tokopedia,916,Terdaftar,2019,35150082,,916
28828718,UD. Priska Utamaindah,Jasa,11,39,3374122,13118720,Bukalapak,669,Belum Terdaftar,2016,9744598,150000000,669
28828719,UD. Habib Wicaksana Heri,Perdagangan,22,15,2004492,27739373,Website Sendiri,726,Belum Terdaftar,2022,25734881,111000000,726
28828720,UD. Tasya Sejahtera,Perdagangan,88,80,5767326,31815146,Website Sendiri,427,Belum Terdaftar,2000,26047820,504000000,427
28828721,UD. Barokah Jayengprana,Perdagangan,62,90,3724723,14597303,Tokopedia,709,Terdaftar,2019,10872580,456000000,709
28828722,UD. Yani Raharja Ulil,Jasa,16,9,7312656,12475465,unknown,874,Belum Terdaftar,2007,5162809,75000000,874
28828723,UD. Vera Citra,Pendidikan,77,52,1428796,45430601,Shopee,323,Belum Terdaftar,2013,44001805,387000000,323
28828724,UD. Xenia Manunggal,Pendidikan,98,64,8011901,29918845,Lazada,692,Belum Terdaftar,2012,21906944,486000000,692
28828725,UD. Ulya Jayeng,Perdagangan,63,49,6430384,35305109,Bukalapak,205,Terdaftar,2011,28874725,336000000,205
28828726,UD. Pandu Bijaksana,Jasa,64,28,5525997,28183026,Tokopedia,575,Belum Terdaftar,2024,22657029,276000000,575
28828727,UD. Agus Asmaralaya,Perdagangan,85,17,8560631,24678508,Lazada,465,Belum Terdaftar,2024,16117877,306000000,465
28828728,UD. Halimah Agastya,Perdagangan,27,51,625732,24037128,Tokopedia,123,Terdaftar,2023,23411396,234000000,123
28828729,UD. Jay Kusen Umi,Pendidikan,57,31,5761132,18854152,Tokopedia,453,Belum Terdaftar,2004,13093020,264000000,453
28828730,UD. Qira Wiraatmaja,Kesehatan,86,32,4155547,17819815,Shopee,788,Belum Terdaftar,2021,13664268,354000000,788
28828731,UD. Cakra Bahagia Aldo,Perdagangan,17,85,7668440,16707622,Website Sendiri,203,Terdaftar,2001,9039182,306000000,203
28828732,UD. Ucup Pusaka,Perdagangan,43,10,1846066,4216980,Lazada,31,Terdaftar,2008,2370914,159000000,31
28828733,UD. Wesly Hastinapura,Jasa,63,28,8910181,45870750,Shopee,13,Terdaftar,2001,36960569,273000000,13
,UD. Jasmine Saputra,Pendidikan,36,19,6310803,30142721,Website Sendiri,51,Belum Terdaftar,2000,23831918,165000000,51
28828735,UD. Widi Saputrautama Leni,Kesehatan,2,21,4324593,17139506,Tokopedia,482,,2004,12814913,69000000,482
28828736,UD. Jafar Harmoni,Pendidikan,13,95,6515796,6370100,Shopee,573,Belum Terdaftar,2023,-145696,324000000,573
28828737,UD. Riyan Wirajaya,Perdagangan,6,71,5912096,37142615,Website Sendiri,565,Belum Terdaftar,2018,31230519,231000000,565
28828738,UD. Nisa Tunggal,Perdagangan,16,85,1637198,12665632,Website Sendiri,263,Terdaftar,2005,11028434,303000000,263
28828739,UD. Balqis Jagadmaya,Pendidikan,69,14,9459994,22315520,Shopee,891,Belum Terdaftar,2008,12855526,249000000,891
28828740,UD. Elva Manggala Tono,Jasa,82,34,4156933,33992950,Bukalapak,920,Terdaftar,2011,29836017,,920
28828741,UD. Celsi Jagad Esa,Perdagangan,78,79,5520889,4868784,Shopee,597,Belum Terdaftar,2007,-652105,471000000,597
28828742,UD. Jihan Pancasila,Jasa,38,92,6310790,22871380,Tokopedia,874,Belum Terdaftar,2005,16560590,390000000,874
28828743,UD. Ilmi Bersemi,Perdagangan,4,33,4895913,35817838,Bukalapak,425,Terdaftar,2017,30921925,111000000,425
28828744,UD. Krisna Padi,Pendidikan,78,19,5131715,6431189,,79,Belum Terdaftar,2003,1299474,291000000,79
28828745,UD. Pandu Gemilang,Perdagangan,51,76,1341645,35798492,Website Sendiri,116,Terdaftar,2006,34456847,381000000,116
28828746,UD. Livia Buana,Kesehatan,25,55,637607,36965570,Lazada,266,Belum Terdaftar,2024,36327963,240000000,266
28828747,UD. Obed Siang Mega,Pendidikan,38,50,1819904,48889840,Shopee,495,Terdaftar,2001,47069936,264000000,495
28828748,UD. Hana Baswara,Pendidikan,44,76,3288321,,Website Sendiri,625,Terdaftar,2006,38677946,360000000,625
28828749,UD. Dora Galuh,Jasa,76,94,6553338,37805386,Shopee,239,Belum Terdaftar,2013,31252048,510000000,239
28828750,UD. Mila Anugerah Zainab,Kesehatan,30,84,8868131,4095640,Tokopedia,541,Terdaftar,2007,-4772491,342000000,541
28828751,UD. Ziva Malam,Perdagangan,76,49,5449552,27593482,,757,Belum Terdaftar,2014,22143930,375000000,757
28828752,UD. Eni Jayeng,Makanan & Minuman,22,29,6258575,37387927,Website Sendiri,123,,2006,31129352,153000000,123
28828753,UD. Juli Elok,Perdagangan,39,24,852937,37775727,Website Sendiri,334,Belum Terdaftar,2020,36922790,189000000,334
28828754,UD. Echa Bahari,Pendidikan,31,93,1426325,4423391,Bukalapak,558,Terdaftar,2020,2997066,372000000,558
28828755,UD. Lea Trisakti,Kesehatan,3,73,7792736,26435010,Tokopedia,369,Belum Terdaftar,2013,18642274,228000000,369
28828756,UD. Salwa Ceria,Makanan & Minuman,80,70,9957868,3553772,Lazada,188,Terdaftar,2024,-6404096,450000000,188
28828757,UD. Budi Darma,Jasa,83,97,817011,32488600,Tokopedia,11,Belum Terdaftar,2000,31671589,540000000,11
28828758,UD. Jihan Karya,Kesehatan,45,3,2779949,2941625,Tokopedia,599,Belum Terdaftar,2006,161676,144000000,599
28828759,UD. Damar Adikara Dani,Kesehatan,74,unknown,7261396,7703724,Lazada,410,Terdaftar,2013,442328,408000000,410
28828760,UD. Ulfa Gunawan,Kesehatan,41,21,4458091,2301779,Tokopedia,571,Terdaftar,2001,-2156312,186000000,571
28828761,UD. Diyan Asih,Perdagangan,96,56,1152490,40472375,Shopee,731,Terdaftar,2015,39319885,456000000,731
28828762,UD. Pardi Purnama,Jasa,38,92,5336096,26331506,Shopee,154,Terdaftar,2004,20995410,390000000,154
28828763,UD. Rian Rejo,Perdagangan,69,53,7036429,13089424,Tokopedia,625,Belum Terdaftar,2005,6052995,366000000,625
28828764,UD. Jasmin Selaras,Pendidikan,55,3,7349287,14073427,Tokopedia,424,Belum Terdaftar,2019,6724140,174000000,424
28828765,UD. Ojan Cahaya,Perdagangan,46,64,2716337,4778001,Lazada,65,Belum Terdaftar,2019,2061664,330000000,65
28828766,UD. Uli Cerah,Pendidikan,37,47,1722526,10516920,Tokopedia,883,Terdaftar,2004,8794394,252000000,883
28828767,UD. Nindy Ilir,Kesehatan,,22,5043103,17563725,Website Sendiri,808,Belum Terdaftar,2019,12520622,117000000,808
28828768,UD. Ovan Utama,Kesehatan,1,22,3675557,38309665,Shopee,813,Terdaftar,2018,34634108,69000000,813
28828769,UD. Grego Jatinagara,Jasa,53,5,8803447,41058703,Tokopedia,796,Belum Terdaftar,2008,32255256,174000000,796
28828770,UD. Livia Sanjaya,Fashion,80,68,8738490,15357535,Website Sendiri,326,Terdaftar,2016,6619045,444000000,326
28828771,UD. Alvino Asih,Pendidikan,87,63,9783108,10561799,Tokopedia,425,Terdaftar,2005,778691,450000000,425
28828772,UD. Ulfa Persada,Pendidikan,29,86,7882516,3918569,Bukalapak,346,Terdaftar,2000,-3963947,345000000,346
28828773,UD. Eddy Sudharmo Pandu,Jasa,87,70,1117080,15749647,Website Sendiri,353,Terdaftar,2012,14632567,471000000,353
28828774,UD. Isna Sasmita,Perdagangan,3,4,2329089,18545125,Shopee,246,Belum Terdaftar,2020,16216036,21000000,246
28828775,UD. Yola Puri,Kesehatan,6,32,9796674,22542591,Shopee,497,Terdaftar,2013,12745917,114000000,497
28828776,UD. Wulan Wetan Andi,Jasa,78,25,738974,14988867,Bukalapak,653,Belum Terdaftar,2018,14249893,309000000,653
28828777,UD. Mira Mayang,Perdagangan,56,58,6584131,27730619,Website Sendiri,334,Belum Terdaftar,2020,21146488,342000000,334
